name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_g minor,key_g# minor,time signature_2/4,time signature_3/4,time signature_3/8,time signature_4/4,time signature_5/4
whitelovepiano.mid,0.8898971973678182,33,89,56,107,98,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whitecr.mid,0.8736917204481581,41,70,29,80,69,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whitefeathers.mid,0.8942774332147911,36,93,57,116,99,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WhiteChristmas.mid,0.9371227668205296,36,91,55,100,73,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whitelightning.mid,0.8364887350145271,34,93,59,145,85,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Whitebird.mid,0.7135691006648957,22,92,70,117,116,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
WhiteChristmas2.mid,0.8913848190329,34,87,53,88,72,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
white4.mid,0.8911928346948471,29,91,62,130,95,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
whiteassnow.mid,0.9512321213540205,26,96,70,104,70,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
white3.mid,0.890317858317662,34,87,53,78,52,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Car.mid,0.7426142356711553,26,94,68,120,75,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
white_love.mid,0.7478125244281079,2,82,80,117,108,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White_Christmas(1).mid,0.8937226684177407,31,88,57,89,96,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
white2.mid,0.9077416383982236,22,89,67,98,69,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Room.mid,0.8160341743769636,26,86,60,110,107,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
White-Room-2.mid,0.8026784276249578,28,79,51,110,88,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
white1.mid,0.7085616326136565,28,88,60,131,67,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Wedding.mid,0.835674254255752,28,78,50,150,89,White,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
