name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_D major,key_E- major,key_F major,key_G major,key_a minor,key_b- minor,key_c minor,key_d minor,key_e minor,key_f minor,key_g minor,time signature_1/4,time signature_1/8,time signature_2/2,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4
"Greensleeves (Traditional, Xmas) (Seq Don Carroll) grnsleve_dc.mid",0.8409378731935573,55,86,31,60,125,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Greensleeves.mid,0.9085971259425422,29,84,55,47,89,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
greensleevesvariationsuntitled.mid,0.9152751675491446,52,96,44,192,121,Green,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
greensleeves3.mid,0.794542941340902,38,74,36,85,94,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Greensleeves2.mid,0.7798057569861698,40,79,39,92,77,Green,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
greensl1.mid,0.8216467518802656,47,74,27,120,103,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
greensl3.mid,0.8958863904203044,35,76,41,130,75,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
greensl(1).mid,0.8949396550662213,0,76,76,130,69,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
greensle.mid,0.795179615236481,34,89,55,15,80,Green,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
GreenOnionsRiff.mid,0.9502850888503246,36,86,50,120,78,Green,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GREENSL_.MID,0.893400161530754,0,76,76,130,70,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GreenOnions.mid,0.7369899300136025,31,93,62,64,112,Green,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GREENSL.MID,0.8958863904203044,35,76,41,130,75,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GreenShirt.mid,0.839024356331382,36,94,58,85,67,Green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greens3a.mid,0.8336718866342296,22,100,78,120,110,Green,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
GREENREQ.MID,0.8939284578324512,33,95,62,120,127,Green,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GreenRiver.mid,0.626305216817626,28,76,48,140,99,Green,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Greenonios.mid,0.7548422979549627,35,77,42,120,87,Green,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Greenonions2.mid,0.7161705761207912,35,77,42,129,90,Green,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Greenoni.MID,0.7590501727844249,38,89,51,120,100,Green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greenman2.mid,0.7782467195461084,36,96,60,120,60,Green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Greenonion.mid,0.7391056895365065,28,103,75,130,89,Green,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Greenman.mid,0.8754563610653397,37,82,45,119,100,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
